time (fs),deltaI
-32.10197414,-0.254271353
-32.16843837,-0.276884419
-32.23490259,-0.298241203
-32.30136682,-0.317085425
-32.36783104,-0.332160802
-32.43429527,-0.342211054
-32.50075949,-0.345979898
-32.56722372,-0.343467335
-32.63368794,-0.337185928
-32.70015217,-0.329648239
-32.76661639,-0.317085425
-32.83308061,-0.305778892
-32.89954484,-0.291959796
-32.96600906,-0.283165826
-33.03247329,-0.2781407
-33.09893751,-0.276884419
-33.16540174,-0.2781407
-33.23186596,-0.274371856
-33.29833019,-0.274371856
-33.36479441,-0.26934673
-33.43125864,-0.264321604
-33.49772286,-0.254271353
-33.56418708,-0.236683413
-33.63065131,-0.215326628
-33.69711553,-0.188944718
-33.76357976,-0.162562808
-33.83004398,-0.132412053
-33.89650821,-0.102261299
-33.96297243,-0.072110544
-34.02943666,-0.04195979
-34.09590088,-0.018090442
-34.16236511,-0.000502502
-34.22882933,0.013316594
-34.29529355,0.023366845
-34.36175778,0.032160815
-34.428222,0.037185941
-34.49468623,0.040954785
-34.56115045,0.04472363
-34.62761468,0.049748756
-34.6940789,0.059799007
-34.76054313,0.073618103
-34.82700735,0.087437199
-34.89347158,0.102512576
-34.9599358,0.121356798
-35.02640002,0.140201019
-35.09286425,0.161557804
-35.15932847,0.180402025
-35.2257927,0.195477403
-35.29225692,0.209296498
-35.35872115,0.216834187
-35.42518537,0.223115594
-35.4916496,0.223115594
-35.55811382,0.21934675
-35.62457805,0.209296498
-35.69104227,0.199246247
-35.75750649,0.187939714
-35.82397072,0.179145744
-35.89043494,0.167839211
-35.95689917,0.159045241
-36.02336339,0.152763834
-36.08982762,0.148994989
-36.15629184,0.148994989
-36.22275607,0.145226145
-36.28922029,0.143969864
-36.35568452,0.141457301
-36.42214874,0.137688456
-36.48861296,0.133919612
-36.55507719,0.127638205
-36.62154141,0.117587953
-36.68800564,0.101256295
-36.75446986,0.083668354
-36.82093409,0.064824133
-36.88739831,0.047236193
-36.95386254,0.02713569
-37.02032676,0.005778905
-37.08679099,-0.013065316
-37.15325521,-0.026884412
-37.21971943,-0.036934664
-37.28618366,-0.044472352
-37.35264788,-0.049497478
-37.41911211,-0.053266323
-37.48557633,-0.054522604
-37.55204056,-0.053266323
-37.61850478,-0.055778885
-37.68496901,-0.05954773
-37.75143323,-0.067085418
-37.81789746,-0.078391951
-37.88436168,-0.090954766
-37.9508259,-0.104773862
-38.01729013,-0.12110552
-38.08375435,-0.141206023
-38.15021858,-0.162562808
-38.2166828,-0.180150748
-38.28314703,-0.196482407
-38.34961125,-0.209045221
-38.41607548,-0.220351754
-38.4825397,-0.224120598
-38.54900393,-0.224120598
-38.61546815,-0.219095473
-38.68193237,-0.210301503
-38.7483966,-0.202763814
-38.81486082,-0.195226125
-38.88132505,-0.188944718
-38.94778927,-0.180150748
-39.0142535,-0.173869341
-39.08071772,-0.171356778
-39.14718195,-0.173869341
-39.21364617,-0.178894467
-39.2801104,-0.185175874
-39.34657462,-0.190201
-39.41303884,-0.197738688
-39.47950307,-0.205276377
-39.54596729,-0.210301503
-39.61243152,-0.211557784
-39.67889574,-0.206532658
-39.74535997,-0.197738688
-39.81182419,-0.186432155
-39.87828842,-0.173869341
-39.94475264,-0.161306526
-40.01121687,-0.147487431
-40.07768109,-0.136180898
-40.14414531,-0.127386928
-40.21060954,-0.122361802
-40.27707376,-0.118592957
-40.34353799,-0.117336676
-40.41000221,-0.117336676
-40.47646644,-0.117336676
-40.54293066,-0.118592957
-40.60939489,-0.119849239
-40.67585911,-0.119849239
-40.74232334,-0.114824113
-40.80878756,-0.10351758
-40.87525178,-0.089698484
-40.94171601,-0.073366826
-41.00818023,-0.055778885
-41.07464446,-0.035678382
-41.14110868,-0.013065316
-41.20757291,0.007035187
-41.27403713,0.02713569
-41.34050136,0.043467348
-41.40696558,0.058542726
-41.47342981,0.072361821
-41.53989403,0.082412073
-41.60635825,0.091206043
-41.67282248,0.096231169
-41.7392867,0.098743732
-41.80575093,0.101256295
-41.87221515,0.105025139
-41.93867938,0.108793983
-42.0051436,0.113819109
-42.07160783,0.118844235
-42.13807205,0.126381923
-42.20453628,0.137688456
-42.2710005,0.151507552
-42.33746472,0.164070367
-42.40392895,0.1753769
-42.47039317,0.186683432
-42.5368574,0.19296484
-42.60332162,0.197989965
-42.66978585,0.197989965
-42.73625007,0.191708558
-42.8027143,0.181658307
-42.86917852,0.169095492
-42.93564275,0.157788959
-43.00210697,0.143969864
-43.06857119,0.128894486
-43.13503542,0.112562828
-43.20149964,0.100000013
-43.26796387,0.091206043
-43.33442809,0.084924636
-43.40089232,0.078643229
-43.46735654,0.074874384
-43.53382077,0.07110554
-43.60028499,0.068592977
-43.66674922,0.064824133
-43.73321344,0.057286444
-43.79967766,0.045979911
-43.86614189,0.029648252
-43.93260611,0.010804031
-43.99907034,-0.010552754
-44.06553456,-0.034422101
-44.13199879,-0.060804011
-44.19846301,-0.088442203
-44.26492724,-0.113567832
-44.33139146,-0.134924616
-44.39785569,-0.153768838
-44.46431991,-0.167587934
-44.53078413,-0.178894467
-44.59724836,-0.187688437
-44.66371258,-0.190201
-44.73017681,-0.191457281
-44.79664103,-0.192713562
-44.86310526,-0.193969844
-44.92956948,-0.195226125
-44.99603371,-0.200251251
-45.06249793,-0.209045221
-45.12896216,-0.217839191
-45.19542638,-0.231658287
-45.2618906,-0.247989946
-45.32835483,-0.266834167
-45.39481905,-0.283165826
-45.46128328,-0.29572864
-45.5277475,-0.304522611
-45.59421173,-0.310804018
-45.66067595,-0.313316581
-45.72714018,-0.312060299
-45.7936044,-0.304522611
-45.86006863,-0.294472359
-45.92653285,-0.2781407
-45.99299707,-0.265577886
-46.0594613,-0.247989946
-46.12592552,-0.231658287
-46.19238975,-0.215326628
-46.25885397,-0.200251251
-46.3253182,-0.190201
-46.39178242,-0.181407029
-46.45824665,-0.173869341
-46.52471087,-0.165075371
-46.5911751,-0.153768838
-46.65763932,-0.141206023
-46.72410354,-0.127386928
-46.79056777,-0.109798987
-46.85703199,-0.08592964
-46.92349622,-0.05954773
-46.98996044,-0.029396975
-47.05642467,-0.000502502
-47.12288889,0.029648252
-47.18935312,0.057286444
-47.25581734,0.087437199
-47.32228157,0.112562828
-47.38874579,0.132663331
-47.45521001,0.146482426
-47.52167424,0.154020115
-47.58813846,0.160301522
-47.65460269,0.159045241
